Reference | P46 | C | D | G | 1854 | 1241 | 1573 | 2464 
--------|--------|--------|--------|--------|--------|--------|--------|-------- 
1506 | 0.474 | 0.350 | 0.375 | 0.578 | 0.393 | 0.388 | 0.252 | 0.409 
1CorCom | 0.286 | 0.274 | 0.333 | 0.552 | 0.265 | 0.269 | 0.333 | 0.143 
630 | 0.396 | 0.313 | 0.484 | 0.524 | 0.315 | 0.345 | 0.277 | 0.548 
BasilPhilA | 0.541 | 0.335 | 0.511 | 0.594 | 0.390 | 0.408 | 0.428 | 0.542 
Cels | 0.395 | 0.386 | 0.469 | 0.584 | 0.459 | 0.483 | 0.436 | 0.660 
EphCom | 0.500 | 0.422 | 0.556 | 0.694 | 0.449 | 0.471 | 0.389 | 0.611 
Euches | 0.550 | 0.380 | 0.583 | 0.724 | 0.578 | 0.601 | 0.438 | 0.682 
HeraDial | 0.364 | 0.206 | 0.364 | 0.500 | 0.441 | 0.463 | 0.097 | 0.818 
JerHomA | 0.200 | 0.405 | 0.385 | 0.615 | 0.387 | 0.394 | 0.385 | 0.692 
JerHomB | 0.364 | 0.223 | 0.500 | 0.629 | 0.290 | 0.323 | 0.250 | 0.500 
JohnComA | 0.259 | 0.328 | 0.548 | 0.631 | 0.473 | 0.467 | 0.366 | 0.750 
JohnComB | 0.227 | 0.178 | 0.333 | 0.449 | 0.299 | 0.327 | 0.199 | 0.560 
Mart | NA | 0.558 | 0.667 | 0.834 | 0.837 | 0.826 | 0.695 | 0.778 
MattComB | 0.333 | 0.453 | 0.667 | 0.500 | 0.230 | 0.216 | 0.308 | 0.462 
MattComC | 0.571 | 0.247 | 0.517 | 0.553 | 0.366 | 0.368 | 0.283 | 0.448 
Princ | 0.500 | 0.345 | 0.583 | 0.500 | 0.359 | 0.344 | 0.250 | 0.500 
PsFrag | 0.700 | 0.607 | 0.640 | 0.584 | 0.540 | 0.545 | 0.535 | 0.600 
PsSel | 0.484 | 0.377 | 0.359 | 0.455 | 0.315 | 0.330 | 0.281 | 0.590 
RomFragC | 0.214 | 0.350 | 0.500 | 0.571 | 0.524 | 0.502 | 0.500 | 0.583 
RomFragD | 0.538 | 0.346 | 0.415 | 0.584 | 0.560 | 0.561 | 0.406 | 0.585 
