Reference | cop-sa | 01 | G | Byz | 0243 | 256 | 459 | it-b 
--------|--------|--------|--------|--------|--------|--------|--------|-------- 
0121 | 0.532 | 0.458 | 0.562 | 0.420 | 0.200 | 0.308 | 0.286 | 0.749 
0209 | 0.583 | 0.625 | 0.531 | 0.271 | 0.750 | 0.306 | 0.438 | 0.688 
424-c | 0.288 | 0.229 | 0.472 | 0.863 | 0.222 | 0.500 | 0.750 | 0.641 
Aleph-2 | 0.692 | 0.950 | 0.675 | 0.228 | 0.600 | 0.336 | 0.280 | 0.578 
C | 0.438 | 0.293 | 0.390 | 0.470 | 0.453 | 0.363 | 0.486 | 0.439 
D-1 | 0.938 | NA | 0.781 | 0.163 | 0.542 | 0.411 | 0.312 | 0.625 
D-2 | 0.651 | 0.666 | 0.812 | 0.278 | 0.583 | 0.523 | 0.400 | 0.738 
geo-1 | 0.568 | 0.546 | 0.659 | 0.763 | 0.515 | 0.620 | 0.672 | 0.716 
geo-2 | 0.625 | 0.583 | 0.583 | 0.382 | 0.584 | 0.583 | 0.544 | 0.517 
it-r | 0.367 | 0.473 | 0.568 | 0.648 | 0.338 | 0.544 | 0.571 | 0.480 
L596 | 0.125 | 0.500 | 0.625 | 0.777 | 0.333 | 0.453 | 0.375 | 0.562 
