Reference | B | D | G | 1352 | P | 365 | 1739 | 2464 
--------|--------|--------|--------|--------|--------|--------|--------|-------- 
Cels | 0.277 | 0.368 | 0.500 | 0.408 | 0.211 | 0.380 | 0.368 | 0.737 
HeraDial | 0.189 | 0.364 | 0.500 | 0.454 | 0.333 | 0.240 | 0.282 | 0.818 
JerHomA | 0.458 | 0.375 | 0.625 | 0.338 | 0.250 | 0.250 | 0.344 | 0.875 
JerHomB | 0.344 | 0.583 | 0.708 | 0.431 | 0.417 | 0.373 | 0.354 | 0.500 
JohnComA | 0.215 | 0.545 | 0.546 | 0.373 | 0.250 | 0.391 | 0.277 | 0.773 
JohnComB | 0.074 | 0.333 | 0.388 | 0.257 | NA | 0.133 | 0.166 | 0.889 
Mart | 0.573 | 0.667 | 0.834 | 0.846 | 0.556 | 0.718 | 0.625 | 0.778 
MattComC | 0.225 | 0.625 | 0.625 | 0.291 | 0.250 | 0.281 | 0.125 | 0.500 
PsFrag | 0.456 | 0.500 | 0.550 | 0.406 | 0.300 | 0.420 | 0.500 | 0.600 
PsSel | 0.445 | 0.250 | 0.406 | 0.235 | 0.312 | 0.232 | 0.381 | 0.562 
RomFragC | 0.201 | 0.583 | 0.542 | 0.433 | 0.083 | 0.458 | 0.479 | 0.333 
