Reference | P46 | C | D | G | 1854 | 2815 | 330 | 2464 
--------|--------|--------|--------|--------|--------|--------|--------|-------- 
1CorCom | 0.222 | 0.292 | 0.333 | 0.667 | 0.243 | 0.211 | 0.347 | 0.222 
BasilPhilA | 0.516 | 0.309 | 0.500 | 0.562 | 0.339 | 0.335 | 0.379 | 0.531 
Cels | 0.550 | 0.428 | 0.545 | 0.682 | 0.438 | 0.450 | 0.446 | 0.609 
EphCom | 0.400 | 0.270 | 0.364 | 0.636 | 0.305 | 0.295 | 0.376 | 0.545 
Euches | 0.444 | 0.398 | 0.545 | 0.636 | 0.439 | 0.489 | 0.624 | 0.727 
JerHomB | 0.273 | 0.164 | 0.462 | 0.576 | 0.184 | 0.191 | 0.282 | 0.538 
JohnComB | 0.182 | 0.131 | 0.273 | 0.455 | 0.227 | 0.322 | 0.243 | 0.364 
MattComC | 0.583 | 0.281 | 0.400 | 0.566 | 0.258 | 0.292 | 0.333 | 0.333 
PsFrag | 0.900 | 0.765 | 0.769 | 0.615 | 0.671 | 0.641 | 0.666 | 0.615 
PsSel | 0.400 | 0.319 | 0.438 | 0.469 | 0.417 | 0.396 | 0.490 | 0.688 
RomFragA | 0.500 | 0.222 | 0.400 | 0.500 | 0.160 | 0.168 | 0.240 | 0.480 
