Reference | Ranked distances
------|------------------------------------------------------------
1506 | 1319 (11/51); 1573 (13/51); A (13/50); 88 (13/48); P (12/43); 365 (12/42); 01 (15/51); 6 (16/51); 1739 (16/51); 330 (16/50); 104 (17/51); 1827 (17/51); K (15/43); B (18/51); 424 (18/51); 1243 (18/51); 1270 (18/51); 1505 (18/51); 1837 (18/51); 2147 (18/51); 2400 (18/51); 044 (19/51); 1242 (19/51); 1891 (19/51); 2495 (19/51); D (18/48); 69 (19/50); 1836 (19/50); 326 (18/47)\*; 056 (20/51); 1 (20/51); 226 (20/51); 440 (20/51); 460 (20/51); 517 (20/51); 796 (20/51); 910 (20/51); 999 (20/51); 1424 (20/51); 1448 (20/51); 1611 (20/51); 1734 (20/51); 1854 (20/51); 2815 (20/51); 2344 (17/42)\*; 2412 (17/42)\*; 2464 (18/44); RomFragA (9/22); L (21/51)\*; 049 (21/51)\*; 547 (21/51)\*; 927 (21/51)\*; 945 (21/51)\*; 1241 (21/51)\*; 1315 (21/51)\*; 1738 (21/51)\*; 33 (21/49)\*; 131 (22/51)\*; 205 (22/51)\*; 209 (22/51)\*; 323 (22/51)\*; 489 (22/51)\*; 618 (22/51)\*; 1352 (22/51)\*; 1982 (22/51)\*; 2125 (22/51)\*; 614 (23/51)\*; 1175 (23/51)\*; 1646 (23/51)\*; 1735 (23/51)\*; 1874 (23/51)\*; 1245 (23/50)\*; P46 (9/19)\*; G (23/47)\*; BasilPhilA (6/12); Cels (4/8); F (20/30)\*
1CorCom | K (2/14); 2464 (2/14); 2412 (2/13); B (3/15); 6 (3/15); 323 (3/15); 614 (3/15); 618 (3/15); 796 (3/15); 945 (3/15); 1245 (3/15); 1448 (3/15); 1738 (3/15); 1739 (3/15); 1827 (3/15); 2147 (3/15); A (3/12); 1 (4/15); 33 (4/15); 69 (4/15); 88 (4/15); 131 (4/15); 205 (4/15); 209 (4/15); 226 (4/15); 440 (4/15); 460 (4/15); 489 (4/15); 517 (4/15); 547 (4/15); 910 (4/15); 927 (4/15); 999 (4/15); 1242 (4/15); 1243 (4/15); 1270 (4/15); 1315 (4/15); 1352 (4/15); 1611 (4/15); 1646 (4/15); 1734 (4/15); 1836 (4/15); 1837 (4/15); 1854 (4/15); 1982 (4/15); 2125 (4/15); 2495 (4/15); 2815 (4/15); 056 (3/11); P46 (4/14); L (4/14); 075 (4/13); 01 (5/15); C (3/9); D (5/15); 044 (5/15); 1175 (5/15); 1319 (5/15); 1505 (5/15); 1573 (5/15); 1735 (5/15); 1874 (5/15); 1891 (5/15); 330 (5/14); 1424 (6/15); 2400 (6/15); 104 (7/15)\*; BasilPhilA (5/10); Cels (4/8); G (8/15)\*; F (8/14)\*
630 | MattComC (0/8); 1739 (11/62); 1891 (12/62); 365 (12/48); 1573 (16/62); C (14/54); 104 (17/62); 927 (17/62); 1270 (17/62); 1854 (17/62); 2815 (17/62); 547 (17/61); 1352 (17/60); 131 (18/62); 209 (18/62); 424 (18/62); 489 (18/62); 945 (18/62); 1241 (18/62); 1827 (18/62); L (18/61); 6 (18/61); 796 (18/61); 614 (17/57); 33 (18/60); 1 (19/62); 205 (19/62); 323 (19/62); 1242 (19/62); 1448 (19/62); 1734 (19/62); 2412 (19/62); 460 (19/60); 69 (14/44); 044 (20/62); 049 (20/62); 226 (20/62); 330 (20/62); 440 (20/62); 517 (20/62); 910 (20/62); 1175 (20/62); 1245 (20/62); 1319 (20/62); 1738 (20/62); 1837 (20/62); 2495 (20/62); 88 (20/61); 075 (20/59); 999 (21/62); 1611 (21/62); 2125 (21/62); 2400 (21/62); 1982 (21/61); Cels (6/17); 01 (22/62); B (22/62); 326 (22/62); 1315 (22/62); 1505 (22/62); K (23/62)\*; 2147 (23/62)\*; 1243 (24/62)\*; P46 (21/53)\*; 618 (25/62)\*; 1424 (25/62)\*; 1836 (24/59)\*; P (25/60)\*; 1735 (26/62)\*; 1874 (26/62)\*; A (21/50)\*; 1646 (28/62)\*; 2344 (14/31)\*; D (30/62)\*; F (32/62)\*; G (33/62)\*; 2464 (34/62)\*
BasilPhilA | RomFragA (3/31)\*; Cels (2/12); C (7/30); 326 (4/14); 01 (14/48); 075 (11/36); MattComC (4/13); B (15/48); 104 (15/48); 69 (16/48); 1573 (16/48); 1739 (16/48); 1837 (16/48); 2412 (16/46); 226 (17/48); 614 (17/48); 1827 (17/48); 1982 (17/48); 33 (17/47); 796 (17/47); 1245 (17/47); A (16/43); 044 (18/48); 131 (18/48); 517 (18/48); 547 (18/48); 1242 (18/48); 1352 (18/48); 1448 (18/48); 1611 (18/48); 1854 (18/48); 1891 (18/48); 2125 (18/48); 2815 (18/48); 2344 (7/18); K (19/48)\*; 1 (19/48)\*; 440 (19/48)\*; 910 (19/48)\*; 999 (19/48)\*; 1270 (19/48)\*; 1319 (19/48)\*; 1734 (19/48)\*; 1735 (19/48)\*; 1738 (19/48)\*; L (19/47)\*; 330 (19/47)\*; 056 (18/44)\*; 6 (20/48)\*; 88 (20/48)\*; 205 (20/48)\*; 209 (20/48)\*; 323 (20/48)\*; 618 (20/48)\*; 927 (20/48)\*; 1505 (20/48)\*; 1836 (20/48)\*; 2147 (20/48)\*; 2400 (20/48)\*; 460 (21/48)\*; 489 (21/48)\*; 1175 (21/48)\*; 1315 (21/48)\*; 2495 (21/48)\*; 945 (22/48)\*; 1243 (22/48)\*; 1424 (22/48)\*; 1646 (22/48)\*; 049 (8/16); 424 (8/16); 1241 (8/16); D (24/47)\*; 1874 (25/48)\*; P46 (20/37)\*; 2464 (26/48)\*; 365 (5/9)\*; G (27/48)\*; P (9/15)\*; F (25/40)\*
Cels | BasilPhilA (2/12); MattComC (2/11); RomFragA (2/9); C (10/34); A (14/47); P (9/27); B (17/50); 1739 (17/50); 365 (8/23); K (18/47)\*; P46 (17/43); 044 (20/50)\*; 075 (17/42)\*; 2412 (20/48)\*; 01 (21/50)\*; 104 (21/50)\*; 910 (21/50)\*; 1734 (21/50)\*; 1827 (21/50)\*; 1854 (21/50)\*; 2125 (21/50)\*; 6 (21/49)\*; 69 (18/42)\*; 460 (21/49)\*; 88 (22/50)\*; 517 (22/50)\*; 547 (22/50)\*; 1448 (22/50)\*; 1573 (22/50)\*; 424 (12/27); 33 (22/49)\*; 1982 (22/49)\*; 209 (23/50)\*; 226 (23/50)\*; 1242 (23/50)\*; 1245 (23/50)\*; 1352 (23/50)\*; 1735 (23/50)\*; 1738 (23/50)\*; 2495 (23/50)\*; 2815 (23/50)\*; 614 (21/45)\*; D (23/49)\*; 1424 (23/49)\*; 330 (23/48)\*; 489 (24/50)\*; 618 (24/50)\*; 945 (24/50)\*; 1891 (24/50)\*; 2400 (24/50)\*; 049 (13/27)\*; 056 (15/31)\*; 2147 (24/49)\*; L (25/50)\*; 1 (25/50)\*; 131 (25/50)\*; 205 (25/50)\*; 323 (25/50)\*; 326 (13/26)\*; 927 (25/50)\*; 999 (25/50)\*; 1505 (25/50)\*; 1611 (25/50)\*; 1836 (25/49)\*; 1241 (14/27)\*; 440 (26/50)\*; 1270 (26/50)\*; 1319 (26/50)\*; 2344 (12/23)\*; G (26/49)\*; 1243 (26/49)\*; 1837 (27/50)\*; 796 (28/50)\*; 1175 (28/50)\*; 1315 (28/50)\*; 1874 (29/49)\*; 1646 (30/50)\*; F (30/47)\*; 2464 (31/47)\*
EphCom | 056 (3/11); 6 (6/18); 1739 (6/18); A (7/18); B (7/18); 33 (7/18); 489 (7/18); 910 (7/18); 927 (7/18); 1319 (7/18); 1505 (7/18); 1573 (7/18); 1837 (7/18); 1891 (7/18); 2495 (7/18); 2815 (7/18); C (6/15); K (8/18); L (8/18); 044 (8/18); 1 (8/18); 69 (8/18); 88 (8/18); 104 (8/18); 131 (8/18); 440 (8/18); 460 (8/18); 547 (8/18); 614 (8/18); 618 (8/18); 796 (8/18); 999 (8/18); 1242 (8/18); 1270 (8/18); 1315 (8/18); 1352 (8/18); 1448 (8/18); 1611 (8/18); 1734 (8/18); 1738 (8/18); 1827 (8/18); 1854 (8/18); 2147 (8/18); 2412 (8/18); 1982 (8/17)\*; P46 (8/16); 01 (9/18)\*; 075 (9/18)\*; 205 (9/18)\*; 209 (9/18)\*; 226 (9/18)\*; 323 (9/18)\*; 517 (9/18)\*; 945 (9/18)\*; 1243 (9/18)\*; 1245 (9/18)\*; 1424 (9/18)\*; 1646 (9/18)\*; 1836 (9/18)\*; 1874 (9/18)\*; 2125 (9/18)\*; 330 (9/17)\*; D (10/18)\*; 1175 (10/18)\*; 2344 (5/9)\*; 2464 (11/18)\*; F (12/18)\*; 1735 (12/18)\*; 2400 (12/18)\*; G (13/18)\*
Euches | 1739 (6/24); C (3/11); 1891 (7/24); 01 (8/24); A (7/19); BasilPhilA (3/8); B (10/24); 1573 (10/24); 33 (10/23)\*; 1319 (11/24); 1837 (11/24); K (11/22)\*; 075 (9/18); 6 (12/24)\*; 2412 (11/22)\*; PsSel (6/12); 69 (12/23)\*; 614 (12/23)\*; 326 (7/13); 1 (13/24)\*; 205 (13/24)\*; 209 (13/24)\*; 226 (13/24)\*; 910 (13/24)\*; 1854 (13/24)\*; 2125 (13/24)\*; 330 (12/22)\*; P46 (11/20)\*; L (13/23)\*; 796 (13/23)\*; D (14/24)\*; 044 (14/24)\*; 104 (14/24)\*; 131 (14/24)\*; 323 (14/24)\*; 440 (14/24)\*; 460 (14/24)\*; 489 (14/24)\*; 517 (14/24)\*; 547 (14/24)\*; 927 (14/24)\*; 945 (14/24)\*; 999 (14/24)\*; 1175 (14/24)\*; 1242 (14/24)\*; 1245 (14/24)\*; 1270 (14/24)\*; 1448 (14/24)\*; 1734 (14/24)\*; 1827 (14/24)\*; 1982 (14/24)\*; 2147 (14/24)\*; 2815 (14/24)\*; 056 (10/17)\*; 1836 (14/23)\*; P (8/13)\*; 424 (8/13)\*; 88 (15/24)\*; 1315 (15/24)\*; 1352 (15/24)\*; 1611 (15/24)\*; 1738 (15/24)\*; 1874 (15/24)\*; 618 (16/24)\*; 1243 (16/24)\*; 1424 (16/24)\*; 1505 (16/24)\*; 1735 (16/24)\*; 2495 (16/24)\*; 2464 (15/22)\*; 1241 (9/13)\*; 2344 (9/13)\*; G (17/24)\*; 1646 (17/24)\*; 2400 (17/24)\*; F (17/23)\*; 049 (10/13)\*
HeraDial | 1175 (0/11); 1573 (0/11); JohnComB (0/8); C (1/11); 1319 (1/11); 1735 (1/11); B (2/11); 104 (2/11); 365 (2/10); A (2/9); JohnComA (2/9); 01 (3/11); 1739 (3/11); 1891 (3/11); 075 (3/10); P (3/9); 1836 (3/9); P46 (4/11); D (4/11); 6 (4/11); 323 (4/11); 945 (4/11); 1448 (4/11); 33 (4/10); 460 (4/10); 614 (4/9); F (5/11); K (5/11); L (5/11); 044 (5/11); 1 (5/11); 88 (5/11); 131 (5/11); 205 (5/11); 209 (5/11); 226 (5/11); 330 (5/11); 424 (5/11); 440 (5/11); 489 (5/11); 547 (5/11); 796 (5/11); 910 (5/11); 927 (5/11); 1241 (5/11); 1242 (5/11); 1243 (5/11); 1245 (5/11); 1270 (5/11); 1315 (5/11); 1352 (5/11); 1424 (5/11); 1734 (5/11); 1738 (5/11); 1827 (5/11); 1854 (5/11); 1874 (5/11); 2125 (5/11); 2147 (5/11); 2495 (5/11); 2815 (5/11); 1982 (5/10); G (6/11); 049 (6/11); 326 (6/11); 517 (6/11); 618 (6/11); 1505 (6/11); 1837 (6/11); 2400 (6/11); 2412 (6/11); 999 (7/11)\*; 1611 (7/11)\*; 1646 (7/11)\*; 2464 (9/11)\*
JerHomA | P46 (2/10); 044 (3/13); 33 (3/13); P (2/8); 326 (2/8); 424 (2/8); 796 (3/12); 1241 (2/8); 1 (4/13); 209 (4/13); 547 (4/13); 945 (4/13); 1242 (4/13); 1352 (4/13); 1448 (4/13); 1505 (4/13); 1611 (4/13); 1738 (4/13); 1739 (4/13); 1854 (4/13); 2495 (4/13); 2815 (4/13); C (4/12); 614 (4/12); 1982 (4/12); 049 (3/8); D (5/13); K (5/13); L (5/13); 6 (5/13); 104 (5/13); 205 (5/13); 226 (5/13); 323 (5/13); 330 (5/13); 440 (5/13); 460 (5/13); 489 (5/13); 910 (5/13); 927 (5/13); 999 (5/13); 1270 (5/13); 1319 (5/13); 1573 (5/13); 1734 (5/13); 1827 (5/13); 1836 (5/13); 2125 (5/13); 2147 (5/13); 2412 (5/13); 075 (5/12); 88 (5/12); 69 (5/11); 01 (6/13); B (6/13); 131 (6/13); 517 (6/13); 1837 (6/13); 1891 (6/13); 2400 (6/13); A (6/12); F (7/13); 618 (7/13); 1175 (7/13); 1245 (7/13); 1315 (7/13); 1424 (8/13)\*; 1646 (8/13)\*; 1735 (8/13)\*; 1874 (8/13)\*; G (9/13)\*; 1243 (9/13)\*; 2464 (9/13)\*
