Reference | Ranked distances
------|------------------------------------------------------------
Cels | A (2/16); JohnComA (2/12); P46 (4/19); P (4/19); 044 (4/19); C (4/18); 104 (5/19); 33 (5/18); 614 (4/14); B (6/19); K (6/19); 226 (6/19); 424 (6/19); 910 (6/19); 1739 (6/19); 1854 (6/19); 2125 (6/19); 2412 (6/19); 6 (6/18); 460 (6/18); 1836 (6/18); 365 (6/17); 630 (6/17); 01 (7/19); D (7/19); 049 (7/19); 075 (7/19); 1 (7/19); 88 (7/19); 209 (7/19); 517 (7/19); 547 (7/19); 945 (7/19); 1241 (7/19); 1352 (7/19); 1448 (7/19); 1573 (7/19); 1734 (7/19); 2495 (7/19); 1891 (7/18); L (8/19); 205 (8/19); 323 (8/19); 326 (8/19); 440 (8/19); 489 (8/19); 927 (8/19); 999 (8/19); 1175 (8/19); 1242 (8/19); 1245 (8/19); 1424 (8/19); 1505 (8/19); 1735 (8/19); 1738 (8/19); 1827 (8/19); 2147 (8/19); 2815 (8/19); 69 (5/11); G (9/19)\*; 131 (9/19)\*; 330 (9/19)\*; 618 (9/19)\*; 1611 (9/19)\*; 2400 (9/19)\*; F (10/19)\*; 1315 (10/19)\*; 1319 (10/19)\*; 1837 (10/19)\*; 1874 (10/19)\*; 1881 (10/19)\*; 796 (11/19)\*; 1243 (11/19)\*; 1270 (11/19)\*; 1646 (12/19)\*; 2464 (14/19)\*
HeraDial | 1175 (0/11); 1573 (0/11); C (1/11); 1319 (1/11); 1735 (1/11); B (2/11); 104 (2/11); 630 (2/11); 365 (2/10); A (2/9); JohnComA (2/9); 01 (3/11); 1739 (3/11); 1881 (3/11); 075 (3/10); P (3/9); 1836 (3/9); P46 (4/11); D (4/11); 6 (4/11); 323 (4/11); 945 (4/11); 1448 (4/11); 33 (4/10); 460 (4/10); 614 (4/9); F (5/11); K (5/11); L (5/11); 044 (5/11); 1 (5/11); 88 (5/11); 131 (5/11); 205 (5/11); 209 (5/11); 226 (5/11); 330 (5/11); 424 (5/11); 440 (5/11); 489 (5/11); 547 (5/11); 796 (5/11); 910 (5/11); 927 (5/11); 1241 (5/11); 1242 (5/11); 1243 (5/11); 1245 (5/11); 1270 (5/11); 1315 (5/11); 1352 (5/11); 1424 (5/11); 1734 (5/11); 1738 (5/11); 1827 (5/11); 1854 (5/11); 1874 (5/11); 2125 (5/11); 2147 (5/11); 2495 (5/11); 2815 (5/11); 1891 (5/10); G (6/11); 049 (6/11); 326 (6/11); 517 (6/11); 618 (6/11); 1505 (6/11); 1837 (6/11); 2400 (6/11); 2412 (6/11); 999 (7/11)\*; 1611 (7/11)\*; 1646 (7/11)\*; 2464 (9/11)\*
JerHomA | K (2/8); L (2/8); P (2/8); 044 (2/8); 1 (2/8); 33 (2/8); 104 (2/8); 209 (2/8); 226 (2/8); 326 (2/8); 330 (2/8); 424 (2/8); 460 (2/8); 547 (2/8); 630 (2/8); 910 (2/8); 945 (2/8); 1241 (2/8); 1242 (2/8); 1319 (2/8); 1352 (2/8); 1448 (2/8); 1505 (2/8); 1573 (2/8); 1734 (2/8); 1738 (2/8); 1836 (2/8); 1854 (2/8); 2125 (2/8); 2147 (2/8); 2495 (2/8); 2815 (2/8); 01 (3/8); D (3/8); 049 (3/8); 6 (3/8); 131 (3/8); 205 (3/8); 323 (3/8); 440 (3/8); 489 (3/8); 517 (3/8); 927 (3/8); 999 (3/8); 1270 (3/8); 1611 (3/8); 1739 (3/8); 1827 (3/8); 1837 (3/8); 2400 (3/8); 2412 (3/8); B (4/8); F (4/8); 618 (4/8); 1175 (4/8); 1245 (4/8); 1315 (4/8); 1646 (4/8); 1735 (4/8); 1881 (4/8); 1243 (5/8); 1424 (5/8); 1874 (5/8); G (6/8)\*; 2464 (7/8)\*
JerHomB | C (1/9); 01 (3/12); 104 (3/12); 326 (3/12); 630 (3/12); 1175 (3/12); 1837 (3/12); B (4/12); 33 (4/12); 88 (4/12); 1319 (4/12); 1573 (4/12); 1739 (4/12); 69 (4/11); 1352 (4/10); K (5/12); P (5/12); 049 (5/12); 075 (5/12); 1 (5/12); 6 (5/12); 131 (5/12); 205 (5/12); 209 (5/12); 226 (5/12); 323 (5/12); 330 (5/12); 424 (5/12); 440 (5/12); 460 (5/12); 489 (5/12); 517 (5/12); 547 (5/12); 910 (5/12); 927 (5/12); 945 (5/12); 1241 (5/12); 1242 (5/12); 1245 (5/12); 1270 (5/12); 1315 (5/12); 1448 (5/12); 1734 (5/12); 1735 (5/12); 1738 (5/12); 1827 (5/12); 1854 (5/12); 2125 (5/12); 2400 (5/12); 2495 (5/12); 2815 (5/12); P46 (5/11); L (5/11); 614 (5/11); 044 (6/12); 618 (6/12); 796 (6/12); 999 (6/12); 1243 (6/12); 1424 (6/12); 1611 (6/12); 1646 (6/12); 1836 (6/12); 1874 (6/12); 1881 (6/12); 2147 (6/12); 2412 (6/12); 2464 (6/12); 1891 (6/11); D (7/12); 1505 (7/12); A (6/9)\*; G (8/12)\*; F (9/12)\*
JohnComA | C (3/22); P46 (4/21); A (4/21); 630 (4/20); 01 (5/22); B (5/22); 104 (5/22); 1739 (5/22); 614 (4/17); P (5/20); 6 (6/22); L (7/22); 33 (7/22); 205 (7/22); 424 (7/22); 547 (7/22); 1175 (7/22); 1241 (7/22); 1242 (7/22); 1245 (7/22); 1424 (7/22); 1573 (7/22); 1837 (7/22); 1854 (7/22); 2125 (7/22); 2412 (7/22); 2815 (7/22); 075 (7/21); 365 (7/21); 1352 (7/21); 044 (8/22); 1 (8/22); 88 (8/22); 209 (8/22); 226 (8/22); 326 (8/22); 330 (8/22); 489 (8/22); 910 (8/22); 927 (8/22); 999 (8/22); 1243 (8/22); 1315 (8/22); 1448 (8/22); 1734 (8/22); 1735 (8/22); 1738 (8/22); 1827 (8/22); 1881 (8/22); 2147 (8/22); 2344 (3/8); 460 (8/21); K (9/22); 049 (9/22); 131 (9/22); 323 (9/22); 517 (9/22); 618 (9/22); 945 (9/22); 1319 (9/22); 1836 (9/22); 2400 (9/22); 2495 (9/22); 440 (10/22)\*; 1270 (10/22)\*; 1505 (10/22)\*; 1874 (10/22)\*; 1891 (10/21); F (11/22)\*; 796 (11/22)\*; 1611 (11/22)\*; D (12/22)\*; 69 (5/9)\*; G (13/22)\*; 1646 (14/22)\*; 2464 (17/22)\*
JohnComB | B (0/9); C (0/9); 104 (0/9); 630 (0/9); 1175 (0/9); 1573 (0/9); 1735 (0/9); 01 (1/9); A (1/9); 365 (1/9); 1319 (1/9); JohnComA (1/9); 075 (1/8); P46 (2/9); K (2/9); L (2/9); 044 (2/9); 1 (2/9); 6 (2/9); 33 (2/9); 88 (2/9); 131 (2/9); 205 (2/9); 209 (2/9); 226 (2/9); 323 (2/9); 330 (2/9); 424 (2/9); 440 (2/9); 460 (2/9); 489 (2/9); 547 (2/9); 910 (2/9); 927 (2/9); 945 (2/9); 1241 (2/9); 1242 (2/9); 1243 (2/9); 1245 (2/9); 1315 (2/9); 1424 (2/9); 1448 (2/9); 1734 (2/9); 1738 (2/9); 1739 (2/9); 1827 (2/9); 1854 (2/9); 1874 (2/9); 1881 (2/9); 2125 (2/9); 2147 (2/9); 2495 (2/9); 2815 (2/9); 1352 (2/8); D (3/9); F (3/9); 049 (3/9); 326 (3/9); 517 (3/9); 618 (3/9); 796 (3/9); 1270 (3/9); 1505 (3/9); 1836 (3/9); 1837 (3/9); 2400 (3/9); 2412 (3/9); G (4/9); 999 (4/9); 1891 (4/8); 1611 (5/9)\*; 1646 (5/9)\*; 2464 (8/9)\*
Mart | B (4/9); 33 (4/8); 01 (5/9)\*; P (5/9)\*; 1739 (5/9)\*; C (5/8); D (6/9)\*; 044 (6/9)\*; 104 (6/9)\*; 945 (6/9)\*; 999 (6/9)\*; 1175 (6/9)\*; 1319 (6/9)\*; 1573 (6/9)\*; 1881 (6/9)\*; 365 (6/8)\*; 460 (6/8)\*; 547 (6/8)\*; 1836 (6/8)\*; G (7/9)\*; 075 (7/9)\*; 6 (7/9)\*; 69 (7/9)\*; 88 (7/9)\*; 323 (7/9)\*; 326 (7/9)\*; 330 (7/9)\*; 440 (7/9)\*; 630 (7/9)\*; 1242 (7/9)\*; 1315 (7/9)\*; 1505 (7/9)\*; 1611 (7/9)\*; 1735 (7/9)\*; 2400 (7/9)\*; 2464 (7/9)\*; 2495 (7/9)\*; F (8/9)\*; K (8/9)\*; L (8/9)\*; 1 (8/9)\*; 131 (8/9)\*; 205 (8/9)\*; 209 (8/9)\*; 226 (8/9)\*; 424 (8/9)\*; 489 (8/9)\*; 517 (8/9)\*; 614 (8/9)\*; 618 (8/9)\*; 796 (8/9)\*; 910 (8/9)\*; 927 (8/9)\*; 1241 (8/9)\*; 1243 (8/9)\*; 1270 (8/9)\*; 1352 (8/9)\*; 1424 (8/9)\*; 1448 (8/9)\*; 1646 (8/9)\*; 1734 (8/9)\*; 1738 (8/9)\*; 1827 (8/9)\*; 1837 (8/9)\*; 1854 (8/9)\*; 1874 (8/9)\*; 1891 (8/9)\*; 2125 (8/9)\*; 2147 (8/9)\*; 2412 (8/9)\*; 2815 (8/9)\*; 049 (9/9)\*; 1245 (9/9)\*
MattComC | C (0/8); 630 (0/8); 01 (1/8); 33 (1/8); 1739 (1/8); 1837 (1/8); B (2/8); P (2/8); 1 (2/8); 6 (2/8); 88 (2/8); 104 (2/8); 205 (2/8); 326 (2/8); 330 (2/8); 424 (2/8); 440 (2/8); 460 (2/8); 489 (2/8); 547 (2/8); 614 (2/8); 910 (2/8); 927 (2/8); 999 (2/8); 1175 (2/8); 1241 (2/8); 1242 (2/8); 1243 (2/8); 1245 (2/8); 1315 (2/8); 1319 (2/8); 1352 (2/8); 1424 (2/8); 1448 (2/8); 1573 (2/8); 1734 (2/8); 1735 (2/8); 1738 (2/8); 1836 (2/8); 1854 (2/8); 1874 (2/8); 1881 (2/8); 2125 (2/8); 2147 (2/8); 2412 (2/8); 2495 (2/8); 2815 (2/8); K (3/8); 044 (3/8); 049 (3/8); 075 (3/8); 131 (3/8); 209 (3/8); 226 (3/8); 323 (3/8); 618 (3/8); 796 (3/8); 945 (3/8); 1270 (3/8); 1505 (3/8); 1611 (3/8); 1646 (3/8); 1827 (3/8); 2400 (3/8); P46 (4/8); F (4/8); 517 (4/8); 2464 (4/8); D (5/8); G (6/8)\*
PsFrag | P (3/10); 88 (3/10); 131 (3/10); 205 (3/10); 323 (3/10); 489 (3/10); 927 (3/10); 1245 (3/10); 1315 (3/10); 1424 (3/10); A (3/9); K (4/10); L (4/10); 044 (4/10); 049 (4/10); 075 (4/10); 1 (4/10); 33 (4/10); 104 (4/10); 209 (4/10); 226 (4/10); 330 (4/10); 424 (4/10); 440 (4/10); 460 (4/10); 517 (4/10); 547 (4/10); 614 (4/10); 618 (4/10); 630 (4/10); 796 (4/10); 910 (4/10); 945 (4/10); 999 (4/10); 1175 (4/10); 1241 (4/10); 1242 (4/10); 1243 (4/10); 1270 (4/10); 1448 (4/10); 1505 (4/10); 1573 (4/10); 1734 (4/10); 1735 (4/10); 1738 (4/10); 1739 (4/10); 1827 (4/10); 1854 (4/10); 1874 (4/10); 2125 (4/10); 2147 (4/10); 2400 (4/10); 2412 (4/10); 2495 (4/10); 2815 (4/10); 1352 (4/9); P46 (5/10); 01 (5/10); B (5/10); C (4/8); D (5/10); G (5/10); 6 (5/10); 69 (4/8); 1319 (5/10); 1646 (5/10); 1836 (5/10); 1891 (5/10); F (6/10); 326 (6/10); 1611 (6/10); 2464 (6/10); 1837 (7/10)\*; 1881 (8/10)\*
