Reference | Ranked distances
------|------------------------------------------------------------
1CorCom | 69 (1/9); 1245 (1/9); 1739 (1/9); 1827 (1/9); 1837 (1/9); P46 (2/9); A (2/9); B (2/9); K (2/9); L (2/9); 044 (2/9); 056 (2/9); 1 (2/9); 6 (2/9); 33 (2/9); 131 (2/9); 205 (2/9); 209 (2/9); 226 (2/9); 323 (2/9); 440 (2/9); 460 (2/9); 489 (2/9); 517 (2/9); 547 (2/9); 614 (2/9); 618 (2/9); 796 (2/9); 910 (2/9); 927 (2/9); 945 (2/9); 999 (2/9); 1242 (2/9); 1243 (2/9); 1270 (2/9); 1315 (2/9); 1319 (2/9); 1352 (2/9); 1448 (2/9); 1573 (2/9); 1611 (2/9); 1646 (2/9); 1734 (2/9); 1738 (2/9); 1854 (2/9); 1891 (2/9); 1982 (2/9); 2125 (2/9); 2147 (2/9); 2412 (2/9); 2464 (2/9); 2495 (2/9); 2815 (2/9); 01 (3/9); D (3/9); 075 (3/9); 88 (3/9); 1424 (3/9); 1505 (3/9); 1735 (3/9); 1836 (3/9); 330 (3/8); 1175 (4/9); 1874 (4/9); 2400 (4/9); 104 (5/9)\*; F (6/9)\*; G (6/9)\*
BasilPhilA | 1827 (8/32); C (7/27); 01 (9/32); B (9/32); 044 (9/32); 075 (9/32); 69 (9/32); 104 (9/32); 226 (9/32); 547 (9/32); 614 (9/32); 1245 (9/32); 2412 (9/32); K (10/32); 88 (10/32); 131 (10/32); 205 (10/32); 209 (10/32); 517 (10/32); 796 (10/32); 999 (10/32); 1242 (10/32); 1352 (10/32); 1448 (10/32); 1573 (10/32); 1611 (10/32); 1854 (10/32); 1982 (10/32); 2125 (10/32); 2815 (10/32); A (10/31); L (11/32); 1 (11/32); 6 (11/32); 440 (11/32); 910 (11/32); 927 (11/32); 1270 (11/32); 1505 (11/32); 1734 (11/32); 1738 (11/32); 1739 (11/32); 1837 (11/32); 1891 (11/32); 2147 (11/32); 33 (11/31); 056 (12/32); 323 (12/32); 489 (12/32); 618 (12/32); 1175 (12/32); 1319 (12/32); 1646 (12/32); 1735 (12/32); 1836 (12/32); 2400 (12/32); 2495 (12/32); 330 (12/31); 460 (13/32); 945 (13/32); 1243 (13/32); 1315 (13/32); 1424 (13/32); D (16/32)\*; 1874 (16/32)\*; P46 (16/31)\*; 2464 (17/32)\*; F (18/32)\*; G (18/32)\*
Cels | 2344 (3/10); 1739 (7/23); 1827 (8/23); C (6/16); 330 (8/21); A (9/23); B (9/23); K (9/23); 056 (9/23); 69 (9/23); 209 (9/23); 517 (9/23); 547 (9/23); 910 (9/23); 1242 (9/23); 1270 (9/23); 1448 (9/23); 1734 (9/23); 1735 (9/23); 1854 (9/23); 2125 (9/23); 1424 (9/22); 01 (10/23)\*; 044 (10/23)\*; 075 (10/23)\*; 6 (10/23)\*; 205 (10/23)\*; 460 (10/23)\*; 489 (10/23)\*; 618 (10/23)\*; 1245 (10/23)\*; 1352 (10/23)\*; 1611 (10/23)\*; 1738 (10/23)\*; 1891 (10/23)\*; 1982 (10/23)\*; 2400 (10/23)\*; 2412 (10/23)\*; 2495 (10/23)\*; 2815 (10/23)\*; 1243 (10/22)\*; L (11/23)\*; 33 (11/23)\*; 88 (11/23)\*; 104 (11/23)\*; 131 (11/23)\*; 226 (11/23)\*; 323 (11/23)\*; 614 (11/23)\*; 796 (11/23)\*; 927 (11/23)\*; 945 (11/23)\*; 999 (11/23)\*; 1505 (11/23)\*; 1573 (11/23)\*; 1837 (11/23)\*; 2147 (11/22)\*; 1 (12/23)\*; 440 (12/23)\*; 1315 (12/23)\*; 1319 (12/23)\*; 1646 (12/23)\*; D (12/22)\*; P46 (11/20)\*; 1175 (13/23)\*; 1836 (13/23)\*; 1874 (13/22)\*; 2464 (14/23)\*; G (14/22)\*; F (16/22)\*
EphCom | 1739 (1/11); A (2/11); B (2/11); 6 (2/11); 33 (2/11); 1837 (2/11); C (2/8); K (3/11); L (3/11); 044 (3/11); 056 (3/11); 075 (3/11); 1 (3/11); 131 (3/11); 226 (3/11); 440 (3/11); 460 (3/11); 489 (3/11); 517 (3/11); 547 (3/11); 614 (3/11); 618 (3/11); 910 (3/11); 927 (3/11); 999 (3/11); 1242 (3/11); 1270 (3/11); 1315 (3/11); 1319 (3/11); 1352 (3/11); 1448 (3/11); 1573 (3/11); 1611 (3/11); 1646 (3/11); 1734 (3/11); 1827 (3/11); 1854 (3/11); 1891 (3/11); 1982 (3/11); 2125 (3/11); 2412 (3/11); 2495 (3/11); 2815 (3/11); 01 (4/11); D (4/11); 69 (4/11); 88 (4/11); 205 (4/11); 209 (4/11); 323 (4/11); 796 (4/11); 945 (4/11); 1243 (4/11); 1245 (4/11); 1424 (4/11); 1505 (4/11); 1738 (4/11); 1836 (4/11); 1874 (4/11); 2147 (4/11); P46 (4/10); 330 (4/10); 104 (5/11); 1175 (5/11); 2400 (5/11); 1735 (6/11); 2464 (6/11); F (7/11)\*; G (7/11)\*
Euches | A (3/11); 1739 (3/11); 01 (4/11); B (4/11); K (4/11); L (4/11); 044 (4/11); 1 (4/11); 205 (4/11); 209 (4/11); 226 (4/11); 517 (4/11); 614 (4/11); 910 (4/11); 1270 (4/11); 1854 (4/11); 1891 (4/11); 1982 (4/11); 2125 (4/11); 2412 (4/11); P46 (4/9); 056 (5/11); 075 (5/11); 33 (5/11); 69 (5/11); 131 (5/11); 323 (5/11); 440 (5/11); 460 (5/11); 489 (5/11); 547 (5/11); 796 (5/11); 927 (5/11); 945 (5/11); 999 (5/11); 1242 (5/11); 1245 (5/11); 1448 (5/11); 1573 (5/11); 1611 (5/11); 1734 (5/11); 1827 (5/11); 1837 (5/11); 1874 (5/11); 2147 (5/11); 2815 (5/11); 1836 (5/10); D (6/11); 6 (6/11); 104 (6/11); 618 (6/11); 1175 (6/11); 1315 (6/11); 1319 (6/11); 1352 (6/11); 1424 (6/11); 1646 (6/11); 1738 (6/11); 330 (6/10)\*; F (7/11)\*; G (7/11)\*; 88 (7/11)\*; 1243 (7/11)\*; 1505 (7/11)\*; 1735 (7/11)\*; 2495 (7/11)\*; 2400 (8/11)\*; 2464 (8/11)\*
JerHomB | 1739 (1/13); C (1/11); 01 (2/13); A (2/13); B (2/13); K (2/13); 044 (2/13); 075 (2/13); 1 (2/13); 6 (2/13); 69 (2/13); 88 (2/13); 131 (2/13); 205 (2/13); 209 (2/13); 226 (2/13); 323 (2/13); 440 (2/13); 517 (2/13); 547 (2/13); 614 (2/13); 618 (2/13); 796 (2/13); 999 (2/13); 1242 (2/13); 1245 (2/13); 1270 (2/13); 1352 (2/13); 1424 (2/13); 1448 (2/13); 1505 (2/13); 1573 (2/13); 1611 (2/13); 1738 (2/13); 1827 (2/13); 1837 (2/13); 1854 (2/13); 1891 (2/13); 1982 (2/13); 2125 (2/13); 2495 (2/13); 2815 (2/13); L (2/12); 056 (3/13); 33 (3/13); 104 (3/13); 460 (3/13); 489 (3/13); 945 (3/13); 1175 (3/13); 1315 (3/13); 1319 (3/13); 1646 (3/13); 1734 (3/13); 1735 (3/13); 1836 (3/13); 2147 (3/13); P46 (3/11); 330 (4/13); 910 (4/13); 927 (4/13); 2400 (4/13); 2412 (4/13); 1243 (5/13); 1874 (5/13); D (6/13)\*; G (7/13)\*; 2464 (7/13)\*; F (8/13)\*
JohnComB | A (1/11); B (1/11); C (1/11); 33 (1/11); 69 (1/11); 1175 (1/11); 1270 (1/11); 1739 (1/11); P46 (2/11); 01 (2/11); K (2/11); 056 (2/11); 075 (2/11); 104 (2/11); 131 (2/11); 517 (2/11); 547 (2/11); 910 (2/11); 1319 (2/11); 1424 (2/11); 1448 (2/11); 1573 (2/11); 1611 (2/11); 1734 (2/11); 1735 (2/11); 1854 (2/11); 1874 (2/11); 1891 (2/11); 1982 (2/11); 2125 (2/10); D (3/11); L (3/11); 044 (3/11); 1 (3/11); 6 (3/11); 88 (3/11); 209 (3/11); 330 (3/11); 440 (3/11); 489 (3/11); 618 (3/11); 927 (3/11); 999 (3/11); 1242 (3/11); 1245 (3/11); 1352 (3/11); 1646 (3/11); 1827 (3/11); 1836 (3/11); 1837 (3/11); 2400 (3/11); 2815 (3/10); 205 (4/11); 226 (4/11); 323 (4/11); 460 (4/11); 614 (4/11); 945 (4/11); 1505 (4/11); 1738 (4/11); 2147 (4/11); 2412 (4/11); 2464 (4/11); 1243 (4/10); F (5/11); G (5/11); 796 (5/11); 1315 (6/11)
MattComC | 1611 (2/15); 1739 (2/15); B (3/15); K (3/15); 044 (3/15); 6 (3/15); 69 (3/15); 131 (3/15); 517 (3/15); 547 (3/15); 1270 (3/15); 1424 (3/15); 1448 (3/15); 1505 (3/15); 1573 (3/15); 1854 (3/15); 1891 (3/15); 1982 (3/15); 2125 (3/15); 2495 (3/15); C (4/15); L (4/15); 056 (4/15); 075 (4/15); 1 (4/15); 33 (4/15); 88 (4/15); 205 (4/15); 209 (4/15); 226 (4/15); 614 (4/15); 618 (4/15); 910 (4/15); 999 (4/15); 1242 (4/15); 1245 (4/15); 1352 (4/15); 1646 (4/15); 1734 (4/15); 1738 (4/15); 1827 (4/15); 2412 (4/15); 2815 (4/15); 01 (5/15); A (5/15); 323 (5/15); 330 (5/15); 440 (5/15); 460 (5/15); 489 (5/15); 796 (5/15); 927 (5/15); 1175 (5/15); 1319 (5/15); 1735 (5/15); 1836 (5/15); 1837 (5/15); 2400 (5/15); 2464 (5/15); D (6/15); 945 (6/15); 1874 (6/15); 2147 (6/15); 104 (7/15)\*; 1315 (7/15)\*; F (8/15)\*; 1243 (8/15)\*; P46 (7/12)\*; G (9/15)\*
PsFrag | 056 (7/13)\*; 1837 (7/13)\*; 1836 (7/12)\*; F (8/13)\*; G (8/13)\*; 131 (8/13)\*; 323 (8/13)\*; 330 (8/13)\*; 440 (8/13)\*; 460 (8/13)\*; 489 (8/13)\*; 547 (8/13)\*; 618 (8/13)\*; 796 (8/13)\*; 927 (8/13)\*; 945 (8/13)\*; 999 (8/13)\*; 1242 (8/13)\*; 1243 (8/13)\*; 1315 (8/13)\*; 1352 (8/13)\*; 1448 (8/13)\*; 1573 (8/13)\*; 1735 (8/13)\*; 1738 (8/13)\*; 1827 (8/13)\*; 2125 (8/13)\*; 2400 (8/13)\*; 2464 (8/13)\*; 2815 (8/13)\*; A (9/13)\*; K (9/13)\*; L (9/13)\*; 075 (9/13)\*; 1 (9/13)\*; 6 (9/13)\*; 33 (9/13)\*; 69 (9/13)\*; 205 (9/13)\*; 209 (9/13)\*; 226 (9/13)\*; 517 (9/13)\*; 614 (9/13)\*; 910 (9/13)\*; 1175 (9/13)\*; 1270 (9/13)\*; 1424 (9/13)\*; 1505 (9/13)\*; 1611 (9/13)\*; 1646 (9/13)\*; 1734 (9/13)\*; 1854 (9/13)\*; 1891 (9/13)\*; 1982 (9/13)\*; 2412 (9/13)\*; 2495 (9/13)\*; 01 (10/13)\*; B (10/13)\*; D (10/13)\*; 044 (10/13)\*; 104 (10/13)\*; 1245 (10/13)\*; 1319 (10/13)\*; 1874 (10/13)\*; 2147 (10/13)\*; 88 (11/13)\*; 1739 (11/13)\*; C (8/9)\*; P46 (9/10)\*
