,"1.3","1.6","1.8","1.11","1.15","2.1","2.5","2.12.1","2.12.2","2.20","3.14","3.17","3.19","3.21","3.28","4.6.2","4.7","4.14.1","4.14.2","4.25","4.26","4.28","5.1.1","5.1.2","5.1.3","5.21","5.23","5.24","6.2","6.10","6.15"
"P46","2","3","1","3","1","1","1","2","1","1","3","1","5","1","2","1","1","1","3","2","2","1","NA","NA","NA","1","5","3","3","2","1"
"01","1","1","6","3","5","1","1","1","1","2","1","1","1","4","6","1","1","2","1","7","2","8","1","1","1","1","1","1","4","1","3"
"A","1","1","6","3","3","1","1","1","2","2","NA","1","1","4","2","1","1","1","1","3","1","8","1","1","1","4","1","1","4","4","3"
"B","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"C","NA","NA","NA","3","NA","6","1","1","2","2","1","1","1","4","1","1","1","1","3","7","2","8","1","3","4","4","1","1","4","1","3"
"D","2","2","3","3","5","3","2","1","1","1","3","2","6","4","3","1","8","2","1","1","2","2","1","1","1","4","3","3","4","1","3"
"F","2","3","1","1","1","3","1","1","1","1","4","2","4","2","4","1","3","2","1","7","2","3","1","1","1","4","4","2","2","1","4"
"G","2","3","4","1","1","3","1","1","1","1","3","2","4","2","4","1","3","2","1","7","2","3","1","1","1","4","4","2","2","1","4"
"K","2","1","5","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","4","1","3","4","2","3"
"L","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","4","1","3","4","4","3"
"044","1","1","1","3","5","1","1","1","2","2","1","1","1","4","1","2","2","1","3","9","2","8","1","3","1","4","1","1","4","1","1"
"056","1","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","2","1","3","4","4","3"
"075","2","1","5","3","3","2","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","2","3","1","4","1","1","4","4","1"
"1","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","4","4","1","3","4","1","3"
"6","2","1","1","3","5","1","1","1","2","2","1","1","1","4","1","2","5","1","1","9","2","1","2","3","1","4","1","3","4","4","3"
"33","1","1","1","1","5","5","1","1","1","2","1","1","1","4","1","2","1","1","1","9","2","3","1","1","1","1","1","1","4","1","1"
"69","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","2","3","1","8","1","3","4","4","1","4","4","4","3"
"88","2","1","5","3","5","1","1","1","2","2","3","2","1","4","1","2","8","1","2","3","2","8","3","3","1","4","1","3","4","1","3"
"104","2","1","7","3","3","1","1","1","2","2","1","2","1","3","1","1","8","1","2","9","1","8","2","3","1","4","1","1","4","4","3"
"131","1","1","5","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","4","1","3","4","1","3"
"205","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","4","4","1","3","4","1","3"
"209","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","4","4","1","3","4","1","3"
"226","2","1","1","3","4","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","4","1","3","4","1","3"
"323","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","5","1","3","9","1","8","3","3","1","1","1","3","1","1","3"
"330","2","1","1","3","3","1","1","1","1","2","1","1","1","4","1","2","8","1","3","3","1","8","1","3","4","4","1","1","4","4","3"
"440","2","1","1","3","5","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","4","3","3","1","4","1","3","4","1","3"
"460","2","1","5","3","3","1","1","1","2","2","1","2","1","4","1","2","8","1","3","9","1","8","3","3","1","4","1","3","4","4","3"
"489","2","1","5","3","5","1","1","1","2","2","3","2","1","4","1","2","6","1","3","9","1","8","3","3","1","4","1","3","4","1","3"
