"","P46","01","B","D","F","G","044","075","0209","0243","6","33","81","104","256","263","365","424","436","459","1175","1241","1319","1573","1739","1852","1881","1912","1962","2127","2200","K","L","P","it-ar","it-d","it-f","it-g","it-o","cop-bo","arm","slav"
"P46",34,32,34,34,34,34,34,31,8,33,34,34,34,34,34,34,34,34,34,34,33,34,32,34,34,34,34,34,33,34,33,33,33,33,34,33,34,34,34,31,33,33
"01",32,38,38,38,38,38,38,35,8,37,38,37,38,38,38,37,38,38,38,38,37,38,35,38,38,38,38,38,37,38,37,37,37,37,38,37,38,38,38,35,36,37
"B",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"D",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"F",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"G",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"044",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"075",31,35,35,35,35,35,35,35,8,34,35,34,35,35,35,34,35,35,35,35,34,35,32,35,35,35,35,35,34,35,34,34,34,34,35,34,35,35,35,32,33,34
"0209",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"0243",33,37,39,39,39,39,39,34,8,39,39,38,39,39,39,38,39,39,39,39,39,39,36,39,39,39,39,39,38,39,38,38,38,38,39,38,39,39,39,36,37,38
"6",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"33",34,37,39,39,39,39,39,34,8,38,39,39,39,39,39,39,39,39,39,39,38,39,37,39,39,39,39,39,38,39,38,38,38,38,39,38,39,39,39,36,37,38
"81",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"104",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"256",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"263",34,37,39,39,39,39,39,34,8,38,39,39,39,39,39,39,39,39,39,39,38,39,37,39,39,39,39,39,38,39,38,38,38,38,39,38,39,39,39,36,37,38
"365",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"424",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"436",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"459",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1175",33,37,39,39,39,39,39,34,8,39,39,38,39,39,39,38,39,39,39,39,39,39,36,39,39,39,39,39,38,39,38,38,38,38,39,38,39,39,39,36,37,38
"1241",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1319",32,35,37,37,37,37,37,32,8,36,37,37,37,37,37,37,37,37,37,37,36,37,37,37,37,37,37,37,36,37,36,36,36,36,37,36,37,37,37,34,35,36
"1573",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1739",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1852",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1881",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1912",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"1962",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,39,39,38,38,38,38,39,38,39,39,39,36,37,38
"2127",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"2200",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,39,38,38,38,39,38,39,39,39,36,37,38
"K",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,38,39,39,39,39,38,39,39,39,36,37,39
"L",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,38,39,39,39,39,38,39,39,39,36,37,39
"P",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,38,39,39,39,39,38,39,39,39,36,37,39
"it-ar",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"it-d",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,38,38,38,38,39,39,39,39,39,36,37,38
"it-f",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"it-g",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"it-o",34,38,40,40,40,40,40,35,8,39,40,39,40,40,40,39,40,40,40,40,39,40,37,40,40,40,40,40,39,40,39,39,39,39,40,39,40,40,40,37,38,39
"cop-bo",31,35,37,37,37,37,37,32,8,36,37,36,37,37,37,36,37,37,37,37,36,37,34,37,37,37,37,37,36,37,36,36,36,36,37,36,37,37,37,37,35,36
"arm",33,36,38,38,38,38,38,33,8,37,38,37,38,38,38,37,38,38,38,38,37,38,35,38,38,38,38,38,37,38,37,37,37,37,38,37,38,38,38,35,38,37
"slav",33,37,39,39,39,39,39,34,8,38,39,38,39,39,39,38,39,39,39,39,38,39,36,39,39,39,39,39,38,39,38,39,39,39,39,38,39,39,39,36,37,39
