"","B","D","D-1","F","G","044","0150","0243","6","81","104","256","365","424","436","459","1175","1241","1573","1739","1852","1881","1912","2127","2200","2464","Byz","K","L","P","Lect","it-ar","it-f","it-g","it-o","vg","cop-bo","slav"
"B",0,0.6,1,0.55,0.55,0.7,0.564,0.41,0.625,0.375,0.525,0.45,0.5,0.625,0.6,0.55,0.385,0.65,0.5,0.4,0.675,0.45,0.55,0.5,0.667,0.526,0.639,0.692,0.59,0.513,0.649,0.575,0.6,0.625,0.55,0.541,0.378,0.641
"D",0.6,0,0.875,0.425,0.375,0.475,0.59,0.641,0.525,0.575,0.55,0.575,0.55,0.525,0.625,0.55,0.667,0.525,0.625,0.625,0.55,0.6,0.6,0.55,0.615,0.553,0.472,0.538,0.436,0.564,0.432,0.425,0.5,0.375,0.425,0.514,0.622,0.615
"D-1",1,0.875,0,0.75,0.75,0.25,0.25,0.625,0,0.75,0.25,0.375,0.25,0.125,0.25,0.375,0.5,0.125,0.375,0.625,0,0.375,0.125,0.375,0.375,0.375,0.125,0.125,0.25,0.25,0.125,0.625,0.5,0.75,0.75,0.625,0.875,0.25
"F",0.55,0.425,0.75,0,0.05,0.575,0.513,0.564,0.525,0.525,0.55,0.55,0.6,0.55,0.65,0.55,0.615,0.525,0.55,0.525,0.6,0.65,0.65,0.55,0.641,0.605,0.528,0.59,0.513,0.615,0.486,0.475,0.375,0.2,0.425,0.514,0.486,0.564
"G",0.55,0.375,0.75,0.05,0,0.575,0.513,0.538,0.475,0.475,0.5,0.5,0.55,0.55,0.65,0.5,0.615,0.525,0.5,0.5,0.55,0.6,0.65,0.5,0.615,0.553,0.5,0.564,0.487,0.59,0.486,0.475,0.375,0.2,0.475,0.514,0.486,0.59
"044",0.7,0.475,0.25,0.575,0.575,0,0.256,0.462,0.325,0.45,0.375,0.325,0.275,0.225,0.325,0.325,0.462,0.25,0.325,0.475,0.275,0.4,0.4,0.3,0.333,0.316,0.139,0.205,0.282,0.231,0.216,0.55,0.5,0.575,0.475,0.459,0.459,0.333
"0150",0.564,0.59,0.25,0.513,0.513,0.256,0,0.553,0.359,0.41,0.333,0.308,0.256,0.205,0.436,0.282,0.526,0.154,0.256,0.564,0.282,0.41,0.333,0.282,0.395,0.342,0.167,0.184,0.263,0.158,0.194,0.538,0.564,0.538,0.41,0.568,0.472,0.289
"0243",0.41,0.641,0.625,0.564,0.538,0.462,0.553,0,0.41,0.436,0.436,0.41,0.462,0.513,0.462,0.462,0.282,0.538,0.436,0.026,0.538,0.231,0.513,0.41,0.368,0.405,0.486,0.553,0.553,0.447,0.528,0.641,0.462,0.564,0.615,0.459,0.417,0.5
"6",0.625,0.525,0,0.525,0.475,0.325,0.359,0.41,0,0.45,0.25,0.3,0.25,0.275,0.325,0.25,0.462,0.275,0.35,0.425,0.3,0.275,0.325,0.275,0.282,0.316,0.222,0.308,0.256,0.282,0.216,0.575,0.55,0.6,0.55,0.568,0.568,0.333
"81",0.375,0.575,0.75,0.525,0.475,0.45,0.41,0.436,0.45,0,0.4,0.2,0.225,0.5,0.45,0.4,0.282,0.475,0.25,0.45,0.5,0.375,0.475,0.225,0.513,0.289,0.417,0.487,0.41,0.333,0.459,0.5,0.5,0.525,0.5,0.486,0.351,0.436
"104",0.525,0.55,0.25,0.55,0.5,0.375,0.333,0.436,0.25,0.4,0,0.35,0.3,0.325,0.25,0.05,0.41,0.375,0.4,0.45,0.3,0.375,0.3,0.375,0.41,0.237,0.306,0.359,0.256,0.256,0.351,0.55,0.6,0.575,0.5,0.595,0.486,0.333
"256",0.45,0.575,0.375,0.55,0.5,0.325,0.308,0.41,0.3,0.2,0.35,0,0.05,0.35,0.35,0.3,0.256,0.325,0.05,0.425,0.35,0.35,0.375,0.05,0.41,0.289,0.25,0.333,0.256,0.154,0.297,0.55,0.45,0.6,0.55,0.432,0.324,0.282
"365",0.5,0.55,0.25,0.6,0.55,0.275,0.256,0.462,0.25,0.225,0.3,0.05,0,0.3,0.3,0.25,0.308,0.275,0.1,0.475,0.3,0.3,0.325,0.075,0.359,0.237,0.194,0.282,0.205,0.103,0.243,0.5,0.45,0.625,0.5,0.432,0.378,0.231
"424",0.625,0.525,0.125,0.55,0.55,0.225,0.205,0.513,0.275,0.5,0.325,0.35,0.3,0,0.3,0.275,0.513,0.1,0.35,0.525,0.175,0.375,0.2,0.325,0.308,0.316,0.028,0.103,0.154,0.231,0.054,0.575,0.475,0.625,0.525,0.514,0.541,0.205
"436",0.6,0.625,0.25,0.65,0.65,0.325,0.436,0.462,0.325,0.45,0.25,0.35,0.3,0.3,0,0.2,0.308,0.4,0.4,0.475,0.375,0.375,0.275,0.375,0.359,0.316,0.306,0.385,0.282,0.282,0.351,0.575,0.525,0.625,0.525,0.514,0.459,0.282
"459",0.55,0.55,0.375,0.55,0.5,0.325,0.282,0.462,0.25,0.4,0.05,0.3,0.25,0.275,0.2,0,0.41,0.325,0.35,0.475,0.3,0.4,0.25,0.325,0.359,0.237,0.25,0.308,0.205,0.205,0.297,0.575,0.575,0.575,0.475,0.568,0.432,0.282
"1175",0.385,0.667,0.5,0.615,0.615,0.462,0.526,0.282,0.462,0.282,0.41,0.256,0.308,0.513,0.308,0.41,0,0.564,0.308,0.308,0.564,0.359,0.41,0.308,0.395,0.405,0.486,0.553,0.474,0.395,0.528,0.615,0.487,0.615,0.615,0.459,0.361,0.421
"1241",0.65,0.525,0.125,0.525,0.525,0.25,0.154,0.538,0.275,0.475,0.375,0.325,0.275,0.1,0.4,0.325,0.564,0,0.275,0.55,0.175,0.375,0.2,0.3,0.359,0.342,0.028,0.154,0.154,0.231,0.054,0.55,0.475,0.6,0.475,0.514,0.568,0.179
"1573",0.5,0.625,0.375,0.55,0.5,0.325,0.256,0.436,0.35,0.25,0.4,0.05,0.1,0.35,0.4,0.35,0.308,0.275,0,0.45,0.35,0.4,0.425,0.1,0.41,0.342,0.25,0.333,0.308,0.205,0.324,0.55,0.45,0.6,0.55,0.432,0.351,0.231
"1739",0.4,0.625,0.625,0.525,0.5,0.475,0.564,0.026,0.425,0.45,0.45,0.425,0.475,0.525,0.475,0.475,0.308,0.55,0.45,0,0.55,0.25,0.525,0.425,0.385,0.421,0.5,0.564,0.564,0.462,0.541,0.65,0.475,0.525,0.625,0.459,0.378,0.513
"1852",0.675,0.55,0,0.6,0.55,0.275,0.282,0.538,0.3,0.5,0.3,0.35,0.3,0.175,0.375,0.3,0.564,0.175,0.35,0.55,0,0.4,0.275,0.375,0.385,0.289,0.111,0.205,0.154,0.231,0.162,0.55,0.475,0.6,0.575,0.514,0.568,0.256
"1881",0.45,0.6,0.375,0.65,0.6,0.4,0.41,0.231,0.275,0.375,0.375,0.35,0.3,0.375,0.375,0.4,0.359,0.375,0.4,0.25,0.4,0,0.325,0.325,0.41,0.289,0.333,0.41,0.41,0.333,0.378,0.575,0.475,0.625,0.575,0.486,0.432,0.385
"1912",0.55,0.6,0.125,0.65,0.65,0.4,0.333,0.513,0.325,0.475,0.3,0.375,0.325,0.2,0.275,0.25,0.41,0.2,0.425,0.525,0.275,0.325,0,0.4,0.41,0.368,0.194,0.256,0.205,0.282,0.189,0.6,0.575,0.675,0.55,0.568,0.568,0.282
"2127",0.5,0.55,0.375,0.55,0.5,0.3,0.282,0.41,0.275,0.225,0.375,0.05,0.075,0.325,0.375,0.325,0.308,0.3,0.1,0.425,0.375,0.325,0.4,0,0.385,0.316,0.222,0.308,0.282,0.179,0.27,0.525,0.45,0.575,0.525,0.432,0.378,0.308
"2200",0.667,0.615,0.375,0.641,0.615,0.333,0.395,0.368,0.282,0.513,0.41,0.41,0.359,0.308,0.359,0.359,0.395,0.359,0.41,0.385,0.385,0.41,0.41,0.385,0,0.395,0.286,0.316,0.368,0.342,0.306,0.641,0.59,0.667,0.59,0.556,0.556,0.342
"2464",0.526,0.553,0.375,0.605,0.553,0.316,0.342,0.405,0.316,0.289,0.237,0.289,0.237,0.316,0.316,0.237,0.405,0.342,0.342,0.421,0.289,0.289,0.368,0.316,0.395,0,0.286,0.297,0.216,0.189,0.314,0.632,0.5,0.605,0.553,0.528,0.429,0.297
"Byz",0.639,0.472,0.125,0.528,0.5,0.139,0.167,0.486,0.222,0.417,0.306,0.25,0.194,0.028,0.306,0.25,0.486,0.028,0.25,0.5,0.111,0.333,0.194,0.222,0.286,0.286,0,0.083,0.111,0.167,0.029,0.528,0.417,0.583,0.472,0.457,0.515,0.194
"K",0.692,0.538,0.125,0.59,0.564,0.205,0.184,0.553,0.308,0.487,0.359,0.333,0.282,0.103,0.385,0.308,0.553,0.154,0.333,0.564,0.205,0.41,0.256,0.308,0.316,0.297,0.083,0,0.205,0.231,0.111,0.59,0.513,0.641,0.564,0.556,0.583,0.308
"L",0.59,0.436,0.25,0.513,0.487,0.282,0.263,0.553,0.256,0.41,0.256,0.256,0.205,0.154,0.282,0.205,0.474,0.154,0.308,0.564,0.154,0.41,0.205,0.282,0.368,0.216,0.111,0.205,0,0.154,0.056,0.59,0.487,0.564,0.538,0.528,0.5,0.231
"P",0.513,0.564,0.25,0.615,0.59,0.231,0.158,0.447,0.282,0.333,0.256,0.154,0.103,0.231,0.282,0.205,0.395,0.231,0.205,0.462,0.231,0.333,0.282,0.179,0.342,0.189,0.167,0.231,0.154,0,0.194,0.615,0.538,0.615,0.487,0.528,0.389,0.282
