"","01","B","D","F","G","044","075","0150","0243","6","81","104","256","365","424","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","Byz","K","L","P","Lect","L596","it-ar","it-b","it-d","it-f","it-g","it-o","vg","arm","slav"
"01",38,38,38,38,38,38,35,37,37,38,38,38,38,38,38,38,38,37,38,38,38,38,38,38,37,38,37,36,34,37,37,37,35,8,38,34,37,38,38,38,35,36,37
"B",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"D",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"F",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"G",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"044",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"075",35,35,35,35,35,35,35,34,34,35,35,35,35,35,35,35,35,34,35,35,35,35,35,35,34,35,34,33,31,34,34,34,32,8,35,31,34,35,35,35,32,33,34
"0150",37,39,39,39,39,39,34,39,38,39,39,39,39,39,39,39,39,38,39,39,39,39,39,39,38,39,38,38,36,38,38,38,36,8,39,35,38,39,39,39,37,37,38
"0243",37,39,39,39,39,39,34,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,39,38,37,35,38,38,38,36,8,39,35,38,39,39,39,37,37,38
"6",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"81",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
"104",38,40,40,40,40,40,35,39,39,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,39,40,39,38,36,39,39,39,37,8,40,36,39,40,40,40,37,38,39
