"","P46","01","A","B","C","D","F","G","K","L","P","044","049","075","1","6","33","69","88","104","131","205","209","226","323","326","330","424","440","460","489","517","547","614","618","630","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2412","2464","2495","2815","PsFrag"
"P46",55,55,43,55,48,55,55,55,55,54,53,55,55,52,55,54,53,36,54,55,55,55,55,55,55,55,55,55,55,54,55,55,55,48,55,53,54,55,55,55,55,55,55,55,55,55,55,55,55,53,55,55,55,55,55,55,55,55,55,55,55,52,55,55,55,55,54,55,55,55,55,55,55,55,10
"01",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"A",43,52,52,52,47,52,52,52,52,52,50,52,52,49,52,51,52,32,51,52,52,52,52,52,52,52,52,52,52,51,52,52,51,45,52,50,52,52,52,52,52,52,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,51,52,52,52,52,52,52,52,9
"B",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"C",48,56,47,56,56,56,56,56,56,55,54,56,56,53,56,55,55,36,55,56,56,56,56,56,56,56,56,56,56,54,56,56,55,49,56,54,56,56,56,56,56,56,56,56,56,56,56,56,56,54,56,56,56,56,56,56,56,56,56,56,56,54,56,56,56,56,55,56,56,56,56,56,56,56,8
"D",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"F",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"G",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"K",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"L",54,63,52,63,55,63,63,63,63,63,61,63,63,60,63,62,61,43,62,63,63,63,63,63,63,63,63,63,63,61,63,63,62,56,63,61,62,63,63,63,63,63,63,63,63,63,63,63,63,61,63,63,63,63,63,63,63,63,63,63,63,60,63,63,63,63,62,63,63,63,63,63,63,63,10
"P",53,62,50,62,54,62,62,62,62,61,62,62,62,60,62,61,60,43,61,62,62,62,62,62,62,62,62,62,62,60,62,62,61,56,62,60,61,62,62,62,62,62,62,62,62,62,62,62,62,60,62,62,62,62,62,62,62,62,62,62,62,59,62,62,62,62,61,62,62,62,62,62,62,62,10
"044",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"049",55,64,52,64,56,64,64,64,64,63,62,64,64,61,64,63,62,44,63,64,64,64,64,64,64,64,64,64,64,62,64,64,63,57,64,62,63,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,63,64,64,64,64,64,64,64,10
"075",52,61,49,61,53,61,61,61,61,60,60,61,61,61,61,60,59,44,61,61,61,61,61,61,61,61,61,61,61,59,61,61,60,56,61,59,60,61,61,61,61,61,61,61,61,61,61,61,61,59,61,61,61,61,61,61,61,61,61,61,61,58,61,61,61,61,60,61,61,61,61,61,61,61,10
