"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2400","2412","2464","2815","JohnComB"
"P46",0,0.419,0.388,0.314,0.397,0.565,0.612,0.612,0.465,0.494,0.477,0.465,0.488,0.465,0.43,0.4,0.407,0.488,0.453,0.5,0.453,0.453,0.477,0.453,0.488,0.442,0.547,0.477,0.453,0.477,0.477,0.547,0.477,0.465,0.5,0.459,0.488,0.488,0.477,0.583,0.442,0.442,0.523,0.471,0.477,0.518,0.477,0.488,0.465,0.453,0.5,0.488,0.535,0.547,0.372,0.453,0.565,0.523,0.442,0.565,0.477,0.488,0.471,0.523,0.512,0.465,0.663,0.482,0.182
"01",0.419,0,0.17,0.215,0.194,0.406,0.519,0.509,0.308,0.34,0.271,0.327,0.346,0.355,0.346,0.226,0.29,0.346,0.262,0.327,0.346,0.346,0.336,0.355,0.333,0.327,0.402,0.355,0.299,0.327,0.346,0.393,0.355,0.318,0.355,0.349,0.346,0.299,0.355,0.495,0.374,0.318,0.402,0.311,0.355,0.368,0.336,0.383,0.271,0.346,0.374,0.336,0.383,0.402,0.215,0.346,0.406,0.346,0.308,0.453,0.336,0.336,0.302,0.453,0.364,0.355,0.579,0.349,0.182
"A",0.388,0.17,0,0.198,0.152,0.419,0.505,0.495,0.236,0.276,0.245,0.264,0.274,0.283,0.302,0.219,0.245,0.321,0.208,0.255,0.283,0.283,0.264,0.302,0.279,0.264,0.33,0.283,0.226,0.255,0.292,0.33,0.283,0.255,0.302,0.286,0.274,0.302,0.283,0.442,0.302,0.245,0.33,0.276,0.283,0.295,0.264,0.349,0.236,0.33,0.33,0.264,0.321,0.34,0.198,0.274,0.352,0.292,0.236,0.41,0.264,0.264,0.229,0.371,0.34,0.283,0.547,0.276,0.091
"B",0.314,0.215,0.198,0,0.204,0.453,0.528,0.528,0.29,0.321,0.271,0.299,0.299,0.327,0.28,0.208,0.271,0.327,0.271,0.327,0.318,0.318,0.308,0.327,0.276,0.299,0.355,0.318,0.28,0.29,0.327,0.364,0.327,0.308,0.336,0.321,0.308,0.271,0.308,0.476,0.346,0.28,0.383,0.264,0.318,0.358,0.299,0.308,0.252,0.28,0.374,0.318,0.346,0.374,0.178,0.299,0.396,0.355,0.28,0.472,0.318,0.318,0.302,0.425,0.318,0.336,0.579,0.302,0.091
"C",0.397,0.194,0.152,0.204,0,0.441,0.538,0.538,0.183,0.228,0.161,0.194,0.215,0.183,0.28,0.217,0.194,0.258,0.14,0.215,0.194,0.194,0.215,0.226,0.217,0.183,0.28,0.204,0.172,0.172,0.226,0.269,0.204,0.204,0.226,0.207,0.194,0.215,0.204,0.396,0.269,0.172,0.28,0.228,0.204,0.239,0.183,0.247,0.183,0.204,0.28,0.215,0.258,0.269,0.151,0.194,0.301,0.269,0.161,0.348,0.194,0.194,0.174,0.323,0.269,0.237,0.516,0.196,0.091
"D",0.565,0.406,0.419,0.453,0.441,0,0.396,0.377,0.415,0.438,0.462,0.425,0.462,0.443,0.443,0.438,0.453,0.443,0.453,0.406,0.425,0.406,0.443,0.462,0.51,0.425,0.462,0.443,0.406,0.425,0.453,0.481,0.443,0.443,0.462,0.448,0.434,0.425,0.443,0.51,0.481,0.396,0.5,0.457,0.434,0.476,0.425,0.481,0.443,0.453,0.462,0.443,0.434,0.5,0.425,0.415,0.505,0.5,0.396,0.495,0.425,0.425,0.41,0.543,0.528,0.443,0.557,0.429,0.273
"F",0.612,0.519,0.505,0.528,0.538,0.396,0,0.075,0.538,0.562,0.547,0.557,0.566,0.557,0.557,0.543,0.557,0.557,0.594,0.547,0.557,0.557,0.557,0.594,0.625,0.547,0.604,0.575,0.528,0.547,0.585,0.604,0.575,0.566,0.594,0.581,0.566,0.604,0.557,0.673,0.575,0.528,0.623,0.543,0.566,0.581,0.547,0.594,0.557,0.557,0.585,0.557,0.566,0.604,0.519,0.557,0.638,0.613,0.519,0.629,0.557,0.557,0.543,0.657,0.623,0.575,0.689,0.562,0.455
"G",0.612,0.509,0.495,0.528,0.538,0.377,0.075,0,0.528,0.552,0.538,0.557,0.557,0.566,0.566,0.562,0.557,0.538,0.575,0.547,0.557,0.547,0.557,0.594,0.625,0.547,0.585,0.575,0.519,0.547,0.575,0.585,0.575,0.557,0.585,0.581,0.557,0.594,0.557,0.673,0.575,0.519,0.604,0.543,0.557,0.571,0.547,0.585,0.547,0.547,0.585,0.547,0.557,0.594,0.528,0.538,0.619,0.594,0.519,0.648,0.547,0.547,0.533,0.667,0.623,0.566,0.698,0.562,0.455
"K",0.465,0.308,0.236,0.29,0.183,0.415,0.538,0.528,0,0.075,0.196,0.084,0.112,0.084,0.168,0.33,0.15,0.159,0.187,0.065,0.084,0.084,0.065,0.131,0.19,0.084,0.112,0.093,0.028,0.065,0.093,0.112,0.103,0.056,0.112,0.104,0.084,0.262,0.084,0.257,0.131,0.056,0.14,0.208,0.084,0.075,0.075,0.187,0.168,0.168,0.121,0.056,0.131,0.121,0.224,0.093,0.16,0.187,0.037,0.208,0.075,0.056,0.038,0.189,0.215,0.103,0.467,0.085,0.182
