"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"P46",28,28,27,28,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,18,28,28,28,28,28,26,21,26,24,24,28,28,27,28,28,27,22,22,14,28,27,28,26,26
"01",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"A",27,30,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18,30,30,30,30,30,25,20,28,25,26,30,27,29,30,30,29,21,21,13,30,29,30,28,28
"B",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"C",24,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,27,27,27,27,27,22,19,25,23,24,27,24,26,27,27,26,19,19,11,27,26,27,25,25
"D",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"F",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"G",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"K",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
"L",28,31,30,31,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,31,26,21,29,26,27,31,28,30,31,31,30,22,22,14,31,30,31,29,29
