"","01","A","B","D","G","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2495","2815","Cels"
"01",0,0.173,0.264,0.32,0.408,0.528,0.422,0.472,0.528,0.528,0.528,0.453,0.529,0.481,0.42,0.415,0.528,0.547,0.547,0.528,0.566,0.423,0.472,0.509,0.528,0.547,0.528,0.547,0.547,0.566,0.491,0.528,0.528,0.528,0.509,0.547,0.509,0.528,0.491,0.538,0.547,0.528,0.358,0.566,0.528,0.509,0.472,0.294,0.302,0.509,0.566,0.547,0.566,0.547,0.283,0.491,0.5,0.491,0.509,0.528,0.434,0.566,0.547,0.472,0.491,0.491,0.528,0.5
"A",0.173,0,0.231,0.367,0.438,0.5,0.432,0.423,0.5,0.519,0.5,0.442,0.52,0.431,0.408,0.385,0.519,0.519,0.519,0.481,0.538,0.451,0.462,0.481,0.5,0.519,0.5,0.519,0.519,0.538,0.5,0.5,0.5,0.5,0.481,0.519,0.5,0.5,0.481,0.51,0.5,0.5,0.346,0.538,0.5,0.481,0.442,0.26,0.308,0.481,0.538,0.538,0.538,0.519,0.308,0.481,0.49,0.442,0.481,0.5,0.442,0.538,0.538,0.462,0.481,0.462,0.5,0.375
"B",0.264,0.231,0,0.36,0.449,0.585,0.489,0.453,0.585,0.585,0.585,0.472,0.588,0.5,0.56,0.509,0.585,0.604,0.604,0.566,0.623,0.519,0.528,0.566,0.585,0.604,0.585,0.604,0.604,0.623,0.547,0.585,0.585,0.604,0.585,0.604,0.585,0.547,0.566,0.577,0.547,0.585,0.434,0.623,0.585,0.566,0.585,0.353,0.396,0.566,0.604,0.566,0.623,0.604,0.358,0.547,0.558,0.472,0.566,0.566,0.491,0.604,0.623,0.566,0.547,0.604,0.585,0.25
"D",0.32,0.367,0.36,0,0.277,0.58,0.548,0.5,0.58,0.6,0.6,0.52,0.625,0.571,0.511,0.58,0.58,0.62,0.62,0.58,0.64,0.49,0.56,0.58,0.58,0.6,0.6,0.62,0.58,0.6,0.58,0.6,0.6,0.62,0.6,0.58,0.58,0.56,0.54,0.58,0.62,0.58,0.44,0.64,0.6,0.58,0.56,0.375,0.44,0.58,0.62,0.58,0.62,0.58,0.42,0.52,0.551,0.58,0.58,0.54,0.54,0.6,0.6,0.54,0.54,0.58,0.6,0.5
"G",0.408,0.438,0.449,0.277,0,0.571,0.535,0.51,0.592,0.592,0.592,0.612,0.596,0.542,0.522,0.571,0.592,0.612,0.612,0.571,0.633,0.542,0.551,0.571,0.571,0.592,0.592,0.612,0.571,0.612,0.592,0.592,0.592,0.571,0.592,0.592,0.571,0.551,0.551,0.583,0.612,0.571,0.469,0.633,0.592,0.571,0.551,0.489,0.449,0.571,0.633,0.551,0.612,0.571,0.51,0.51,0.562,0.571,0.571,0.571,0.612,0.612,0.592,0.531,0.571,0.571,0.592,0.375
"L",0.528,0.5,0.585,0.58,0.571,0,0.156,0.208,0.075,0.094,0.075,0.302,0.157,0.192,0.26,0.208,0.094,0.075,0.075,0.057,0.113,0.154,0.094,0.038,0.094,0.075,0.057,0.075,0.113,0.113,0.132,0.057,0.057,0.113,0.057,0.113,0.038,0.057,0.208,0.135,0.151,0.057,0.34,0.094,0.038,0.038,0.094,0.412,0.302,0.038,0.208,0.151,0.094,0.075,0.509,0.151,0.058,0.189,0.038,0.113,0.396,0.132,0.132,0.132,0.113,0.113,0.113,0.75
"P",0.422,0.432,0.489,0.548,0.535,0.156,0,0.133,0.2,0.178,0.178,0.356,0.209,0.227,0.19,0.222,0.178,0.2,0.2,0.178,0.222,0.227,0.156,0.156,0.178,0.2,0.178,0.2,0.178,0.2,0.156,0.178,0.178,0.156,0.133,0.222,0.156,0.156,0.2,0.205,0.2,0.178,0.356,0.2,0.156,0.156,0.156,0.279,0.311,0.156,0.267,0.2,0.222,0.178,0.422,0.178,0.136,0.289,0.156,0.222,0.378,0.222,0.222,0.156,0.244,0.178,0.156,0.625
"044",0.472,0.423,0.453,0.5,0.51,0.208,0.133,0,0.208,0.189,0.226,0.358,0.294,0.308,0.28,0.283,0.264,0.208,0.208,0.189,0.245,0.25,0.17,0.17,0.226,0.208,0.189,0.208,0.208,0.264,0.189,0.189,0.189,0.226,0.226,0.226,0.208,0.151,0.321,0.288,0.189,0.189,0.415,0.208,0.208,0.17,0.264,0.373,0.377,0.17,0.321,0.226,0.264,0.264,0.453,0.245,0.212,0.302,0.17,0.226,0.453,0.283,0.264,0.264,0.245,0.283,0.245,0.75
"049",0.528,0.5,0.585,0.58,0.592,0.075,0.2,0.208,0,0.094,0.094,0.283,0.176,0.192,0.28,0.226,0.094,0.075,0.075,0.057,0.094,0.154,0.075,0.038,0.094,0.075,0.057,0.075,0.151,0.094,0.113,0.057,0.057,0.113,0.094,0.132,0.075,0.057,0.226,0.173,0.151,0.057,0.34,0.094,0.075,0.038,0.132,0.412,0.302,0.038,0.226,0.151,0.132,0.132,0.509,0.17,0.077,0.189,0.038,0.132,0.358,0.132,0.094,0.151,0.132,0.151,0.113,0.75
