"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"01",0,0.273,0.515,0.333,0.594,0.815,0.71,0.621,0.606,0.562,0.606,0.606,0.636,0.636,0.485,0.643,0.636,0.625,0.515,0.636,0.576,0.576,0.606,0.606,0.613,0.576,0.407,0.606,0.636,0.636,0.667,0.606,0.636,0.643,0.667,0.606,0.606,0.636,0.606,0.606,0.636,0.636,0.606,0.576,0.688,0.485,0.667,0.455,0.625,0.697,0.606,0.606,0.379,0.455,0.636,0.697,0.636,0.606,0.636,0.485,0.545,0.625,0.576,0.636,0.636,0.455,0.606,0.667,0.606,0.542,0.606,0.645,0.625,0.606,0.606,0.37,0.469,0.25,0.583,0.5,0.636,0.607,0.594,0.548,0.606,0.576,0.577,0.571,0.655,0.5,0.571,0.571,0.571,0.464,0.517
"A",0.273,0,0.485,0.5,0.656,0.815,0.742,0.517,0.545,0.531,0.485,0.545,0.576,0.576,0.515,0.607,0.576,0.531,0.515,0.606,0.515,0.515,0.545,0.545,0.548,0.515,0.407,0.545,0.576,0.576,0.606,0.545,0.545,0.571,0.606,0.576,0.545,0.576,0.545,0.545,0.576,0.576,0.545,0.636,0.625,0.485,0.606,0.455,0.562,0.636,0.545,0.606,0.414,0.455,0.576,0.667,0.606,0.545,0.576,0.576,0.515,0.594,0.515,0.576,0.576,0.455,0.545,0.606,0.606,0.542,0.545,0.581,0.594,0.606,0.545,0.37,0.344,0.312,0.5,0.567,0.697,0.571,0.594,0.581,0.636,0.636,0.615,0.571,0.483,0.5,0.536,0.536,0.607,0.536,0.517
"B",0.515,0.485,0,0.542,0.625,0.741,0.677,0.655,0.697,0.688,0.667,0.697,0.727,0.727,0.455,0.714,0.667,0.719,0.727,0.727,0.727,0.727,0.697,0.758,0.742,0.697,0.778,0.697,0.727,0.727,0.758,0.697,0.727,0.714,0.758,0.697,0.697,0.727,0.758,0.727,0.727,0.727,0.697,0.667,0.75,0.697,0.758,0.727,0.75,0.758,0.697,0.758,0.69,0.788,0.727,0.818,0.727,0.758,0.727,0.515,0.667,0.719,0.727,0.727,0.697,0.636,0.697,0.758,0.727,0.667,0.697,0.71,0.75,0.758,0.697,0.444,0.438,0.531,0.625,0.667,0.545,0.5,0.594,0.613,0.697,0.576,0.615,0.643,0.655,0.75,0.464,0.464,0.607,0.464,0.69
"C",0.333,0.5,0.542,0,0.583,0.864,0.875,0.35,0.375,0.375,0.542,0.375,0.375,0.417,0.333,0.45,0.375,0.435,0.292,0.458,0.5,0.5,0.375,0.458,0.435,0.375,0.474,0.375,0.417,0.417,0.458,0.375,0.458,0.474,0.417,0.375,0.375,0.417,0.458,0.333,0.375,0.417,0.375,0.458,0.458,0.292,0.458,0.417,0.435,0.458,0.375,0.375,0.286,0.375,0.417,0.625,0.458,0.458,0.417,0.5,0.375,0.391,0.458,0.417,0.458,0.333,0.375,0.417,0.375,0.471,0.375,0.391,0.478,0.375,0.458,0.2,0.391,0.261,0.312,0.333,0.625,0.381,0.708,0.696,0.708,0.583,0.619,0.524,0.381,0.375,0.45,0.45,0.45,0.4,0.381
"D",0.594,0.656,0.625,0.583,0,0.481,0.419,0.536,0.562,0.645,0.656,0.562,0.562,0.594,0.594,0.63,0.594,0.645,0.656,0.594,0.594,0.594,0.562,0.562,0.613,0.625,0.556,0.594,0.594,0.594,0.594,0.562,0.594,0.593,0.594,0.562,0.562,0.594,0.562,0.562,0.562,0.594,0.625,0.562,0.594,0.594,0.594,0.5,0.581,0.625,0.562,0.562,0.679,0.562,0.594,0.656,0.594,0.625,0.594,0.562,0.625,0.581,0.625,0.594,0.562,0.531,0.562,0.594,0.562,0.565,0.562,0.548,0.677,0.562,0.625,0.593,0.613,0.71,0.739,0.483,0.562,0.333,0.226,0.333,0.438,0.438,0.346,0.704,0.536,0.636,0.444,0.444,0.481,0.593,0.607
"F",0.815,0.815,0.741,0.864,0.481,0,0.148,0.792,0.815,0.815,0.704,0.815,0.815,0.778,0.741,0.826,0.852,0.808,0.852,0.778,0.741,0.741,0.815,0.741,0.815,0.778,0.696,0.778,0.778,0.778,0.778,0.815,0.778,0.773,0.778,0.852,0.815,0.778,0.741,0.815,0.815,0.778,0.815,0.778,0.778,0.852,0.778,0.741,0.769,0.778,0.815,0.741,0.84,0.704,0.778,0.778,0.778,0.852,0.778,0.519,0.815,0.778,0.852,0.778,0.815,0.667,0.815,0.778,0.778,0.8,0.815,0.815,0.769,0.741,0.778,0.957,0.615,0.808,0.842,0.708,0.556,0.591,0.462,0.462,0.481,0.667,0.423,0.739,0.739,0.7,0.625,0.625,0.667,0.609,0.75
"G",0.71,0.742,0.677,0.875,0.419,0.148,0,0.741,0.774,0.774,0.677,0.774,0.774,0.742,0.677,0.731,0.774,0.767,0.806,0.742,0.71,0.71,0.774,0.71,0.767,0.742,0.654,0.742,0.742,0.742,0.742,0.774,0.742,0.731,0.742,0.806,0.774,0.742,0.71,0.774,0.774,0.742,0.774,0.742,0.742,0.839,0.742,0.645,0.733,0.742,0.774,0.71,0.778,0.71,0.742,0.774,0.742,0.806,0.742,0.548,0.774,0.733,0.774,0.742,0.806,0.645,0.774,0.742,0.742,0.739,0.774,0.767,0.733,0.71,0.742,0.808,0.6,0.767,0.773,0.643,0.516,0.577,0.333,0.333,0.419,0.548,0.385,0.692,0.704,0.7,0.556,0.556,0.63,0.615,0.741
"K",0.621,0.517,0.655,0.35,0.536,0.792,0.741,0,0.034,0.179,0.276,0.034,0.069,0.069,0.379,0.083,0.138,0.143,0.207,0.103,0.138,0.138,0.034,0.103,0.185,0.172,0.391,0.069,0.069,0.069,0.103,0.034,0.103,0.125,0.103,0.138,0.034,0.069,0.103,0.103,0.069,0.069,0.103,0.241,0.143,0.241,0.103,0.276,0.071,0.138,0.034,0.138,0.52,0.241,0.069,0.31,0.103,0.138,0.069,0.414,0.172,0.103,0.207,0.069,0.103,0.276,0.034,0.103,0.103,0.095,0.034,0.037,0.241,0.138,0.103,0.375,0.536,0.536,0.348,0.192,0.655,0.32,0.571,0.593,0.552,0.586,0.609,0.292,0.12,0.333,0.44,0.44,0.32,0.44,0.269
"L",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0,0.188,0.242,0.03,0.03,0.061,0.424,0.107,0.121,0.094,0.182,0.061,0.091,0.091,0,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0,0.061,0.071,0.091,0.121,0,0.03,0.061,0.061,0.03,0.03,0.061,0.242,0.094,0.182,0.061,0.242,0.031,0.091,0.03,0.121,0.552,0.212,0.03,0.273,0.061,0.091,0.061,0.455,0.182,0.062,0.182,0.03,0.061,0.303,0.03,0.061,0.121,0.083,0.03,0,0.188,0.152,0.091,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"P",0.562,0.531,0.688,0.375,0.645,0.815,0.774,0.179,0.188,0,0.312,0.219,0.219,0.188,0.406,0.259,0.281,0.161,0.156,0.188,0.219,0.219,0.188,0.219,0.233,0.281,0.423,0.188,0.156,0.156,0.188,0.188,0.188,0.222,0.188,0.25,0.188,0.156,0.25,0.25,0.219,0.156,0.188,0.312,0.226,0.312,0.188,0.312,0.161,0.188,0.188,0.219,0.5,0.281,0.156,0.375,0.188,0.219,0.156,0.469,0.375,0.129,0.25,0.156,0.25,0.281,0.188,0.188,0.25,0.25,0.219,0.2,0.29,0.219,0.188,0.5,0.516,0.548,0.435,0.31,0.625,0.444,0.613,0.613,0.625,0.594,0.615,0.444,0.321,0.455,0.464,0.464,0.429,0.444,0.393
