"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"01",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"A",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"B",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"C",24,24,24,24,24,22,24,20,24,24,24,24,24,24,24,20,24,23,24,24,24,24,24,24,23,24,19,24,24,24,24,24,24,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,21,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,17,24,23,23,24,24,20,23,23,16,21,24,21,24,23,24,24,21,21,21,8,20,20,20,20,21
"D",32,32,32,24,32,27,31,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,31,32,27,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,31,31,32,32,27,31,31,23,29,32,27,31,30,32,32,26,27,28,11,27,27,27,27,28
"F",27,27,27,22,27,27,27,24,27,27,27,27,27,27,27,23,27,26,27,27,27,27,27,27,27,27,23,27,27,27,27,27,27,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,27,27,26,27,27,23,26,26,19,24,27,22,26,26,27,27,26,23,23,10,24,24,24,23,24
"G",31,31,31,24,31,27,31,27,31,31,31,31,31,31,31,26,31,30,31,31,31,31,31,31,30,31,26,31,31,31,31,31,31,26,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,27,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,23,31,30,30,31,31,26,30,30,22,28,31,26,30,30,31,31,26,26,27,10,27,27,27,26,27
"K",29,29,29,20,28,24,27,29,29,28,29,29,29,29,29,24,29,28,29,29,29,29,29,29,27,29,23,29,29,29,29,29,29,24,29,29,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,29,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,21,29,27,29,29,29,24,28,28,23,26,29,25,28,27,29,29,23,24,25,12,25,25,25,25,26
"L",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"P",32,32,32,24,31,27,31,28,32,32,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,24,32,30,31,32,32,26,31,31,23,29,32,27,31,31,32,32,26,27,28,11,28,28,28,27,28
"044",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
